ticker,cur,pxusd,tier,nS,sumS,sqS,nC,sumC,sqC
IAG.AX,AUD,6.10,small,14,1.708,27.844,663,-189.879,976.901
MPL.AX,AUD,3.73,micro,9,-11.333,16.772,274,-193.139,481.375
ASX.AX,AUD,40.73,mid,14,0.987,29.104,705,-210.377,1087.652
S32.AX,AUD,3.51,micro,8,4.675,24.675,277,-133.404,407.442
NST.AX,AUD,16.05,small,35,6.043,112.898,565,-147.202,886.194
PLS.AX,AUD,3.24,micro,73,75.463,265.588,406,-102.715,705.662
IGO.AX,AUD,5.27,small,14,-6.504,23.648,628,-177.768,888.385
SGP.AX,AUD,3.04,micro,139,-1055.170,15985.791,882,-1588.516,24479.340
MIN.AX,AUD,45.37,mid,32,10.448,102.593,484,-83.000,779.235
APA.AX,AUD,7.01,small,10,-2.339,14.943,684,-314.154,863.946
FPH.AX,AUD,24.70,mid,21,-6.473,45.108,597,-204.575,964.042
RY.TO,CAD,211.36,large,5,-3.147,6.280,803,-289.862,1136.946
TD.TO,CAD,121.47,large,12,-8.202,13.974,800,-196.421,1246.521
ENB.TO,CAD,51.33,mid,2,-2.231,2.489,776,-239.092,1041.544
BN.TO,CAD,44.12,mid,10,7.795,25.378,799,-258.797,1108.215
CNR.TO,CAD,126.65,large,9,-9.053,9.757,737,-237.225,1012.480
BMO.TO,CAD,181.69,large,20,2.404,42.216,809,-280.736,1325.548
